Time,Production
199403,10.2985
199404,9.51
199405,9.796
199406,9.4685
199407,9.672
199408,9.61
199409,9.24
199410,10.3183
199411,8.9748
199412,9.114
199501,9.3
199502,8.4
199503,9.3
199504,9
199505,9.3
199506,9.46
199507,9.145
199508,9.021
199509,8.75
199510,8.71
199511,8.37
199512,8.504
199601,9.8197
199602,9.8273
199603,9.9298
199604,9.288
199605,9.3
199606,9.06
199607,8.835
199608,8.3886
199609,8.4
199610,8.525
199611,8.25
199612,8.419
199701,9.455
199702,8.54
199703,9.455
199704,9
199705,9.599
199706,9.436
199707,9.5398
199708,9.0286
199709,8.932
199710,8.993
199711,8.6784
199712,9.0111
199801,9.63
199802,8.5904
199803,9.7363
199804,9.3845
199805,9.9472
199806,9.5771
199807,9.1172
199808,9.1225
199809,8.88
199810,8.7092
199811,8.4282
199812,9.9076
199901,9.145
199902,8.498
199903,9.362
199904,9
199905,9.455
199906,9.3
199907,8.99
199908,8.99
199909,8.79
199910,8.835
199911,8.7
199912,8.935
200001,8.835
200002,8.265
200003,8.835
200004,8.55
200005,8.68
200006,8.4
200007,8.525
200008,8.37
200009,7.89
200010,7.812
200011,7.62
200012,7.718
200101,8.3235
200102,6.86
200103,8.308
200104,8.1
200105,8.525
200106,8.25
200107,8.215
200108,8.1226
200109,7.7781
200110,7.9546
200111,7.42
200112,7.5383
200201,7.905
200202,7.14
200203,8.432
200204,7.71
200205,7.967
200206,7.32
200207,7.502
200208,7.409
200209,7.2006
200210,7.865
200211,6.69
200212,6.8794
200301,7.44
200302,6.86
200303,7.595
200304,7.2
200305,7.13
200306,6.9
200307,7.13
200308,7.13
200309,6.84
200310,7.006
200311,6.78
200312,7.0896
200401,6.882
200402,6.4467
200403,6.882
200404,6.6
200405,6.82
200406,6.6
200407,6.82
200408,6.665
200409,6.45
200410,6.665
200411,6.45
200412,6.7221
200501,6.82
200502,6.16
200503,6.82
200504,6.48
200505,6.5969
200506,6.492
200507,6.51
200508,6.3395
200509,6.0016
200510,6.107
200511,5.79
200512,5.885
200601,7.28
200602,5.9416
200603,6.81
200604,6.182
200605,6.293
200606,6.1186
200607,6.138
200608,6.107
200609,5.913
200610,6.1411
200611,6.248
200612,5.8297
200701,6.8293
200702,6.6944
200703,7.7262
200704,7.0544
200705,7.2689
200706,7.02
200707,6.51
200708,6.3705
200709,5.73
200710,5.828
200711,5.58
200712,5.7099
200801,6.696
200802,6.248
200803,6.7116
200804,6.6001
200805,7.5082
200806,7.765
200807,7.285
200808,6.9595
200809,6.45
200810,6.572
200811,6.6
200812,4.2653
200901,7.367
200902,6.544
200903,6.9408
200904,6.786
200905,6.9812
200906,6.756
200907,6.7332
200908,6.6712
200909,6.2956
200910,6.4325
200911,6.153
200912,6.3895
201001,7.192
201002,6.524
201003,7.2385
201004,6.99
201005,7.254
201006,6.72
201007,6.944
201008,7.0525
201009,6.69
201010,6.9099
201011,6.819
201012,7.1672
201101,7.254
201102,6.664
201103,7.3935
201104,7.125
201105,7.347
201106,7.2165
201107,7.254
201108,7.2385
201109,6.99
201110,7.192
201111,6.9
201112,7.4273
201201,7.3005
201202,6.902
201203,7.409
201204,7.179
201205,7.4245
201206,7.275
201207,7.316
201208,7.0863
201209,7.02
201210,7.2705
201211,7.1688
201212,7.4486
201301,7.4402
