month,cumulative_oil
1,0.82
2,0.796
3,0.775
4,0.758
5,0.752
6,0.752
7,0.745
8,0.736
9,0.722
10,0.708
11,0.685
12,0.676
13,0.67
14,0.637
15,0.624
16,0.628
17,0.621
18,0.601
19,0.622
20,0.625
21,0.616
22,0.641
23,0.671
24,0.675
25,0.663
26,0.659
27,0.612
28,0.554
29,0.571
30,0.598
31,0.618
32,0.621
33,0.675
34,0.714
35,0.738
36,0.77
37,0.824
38,0.747
39,0.722
40,0.704
41,0.685
42,0.67
43,0.756
44,0.746
45,0.725
46,0.712
47,0.713
48,0.711
49,0.716
50,0.757
51,0.786
52,0.8
53,0.827
54,0.837
55,0.832
56,0.808
57,0.782
58,0.75
59,0.702
60,0.657
61,0.656
62,0.631
63,0.717
